source,target,weight
568460,132496,1
206859,671401,1
499906,532044,1
674106,503831,1
689274,577817,1
203598,523951,1
691439,686372,1
520029,235438,1
586593,545891,1
602748,689735,1
635544,49618,1
210567,676053,1
499613,130519,1
66166,671904,1
186684,553379,1
51320,602300,1
52933,170439,1
677754,17578,1
669644,680767,1
171753,499828,1
681020,681020,1
239259,607410,1
677179,337826,1
686144,682456,1
608925,510670,1
675721,653756,1
143620,601443,1
576193,220179,1
85358,39212,1
144774,587250,1
608649,172389,1
501034,686824,1
249326,605688,1
589567,576109,1
6835,544506,2
501871,153666,8
570130,1277,1
505332,169133,1
201177,682673,1
501361,654549,1
675359,568800,2
29316,196753,1
691758,501698,1
168570,553260,1
46464,573861,1
574885,607160,1
502164,521868,1
1277,199675,1
687151,561327,1
534185,108019,1
630355,561839,1
678169,130491,1
197565,687521,1
80668,679355,1
665847,69236,2
691745,635652,1
119284,686412,1
684611,188754,1
640073,182351,1
579586,208272,1
145219,500315,1
151912,569698,1
141137,585517,1
32171,634911,1
509276,537267,1
676845,654075,1
174372,629842,1
519189,583231,2
222772,683006,1
9038,691494,1
169070,40876,1
689118,589369,1
689497,687119,2
588848,181031,1
30457,689497,1
4894,499339,1
499524,587370,1
589970,571503,1
146348,2968,1
8613,512129,1
555871,606622,1
204169,499475,1
531063,499501,1
691824,526467,1
585715,680680,4
53860,43445,1
503423,583863,1
579479,603125,6
204179,25937,1
150745,205403,1
519836,691362,1
563736,607625,1
511876,691053,1
692105,30223,19
680447,678154,1
553603,564235,1
105063,541888,2
232439,672764,1
669110,684644,1
521475,577154,1
575686,566675,3
634111,635843,1
668543,652879,1
589208,586587,1
183344,679691,8
499212,687014,3
136854,579582,1
521254,37541,1
537794,527649,1
231977,932,1
504921,560940,1
532731,666502,1
26534,559918,1
569699,6835,1
130519,564156,1
539852,517479,1
686755,651901,1
232212,560085,1
127886,238226,2
189165,55395,1
143279,531626,1
541888,549903,1
573492,244446,1
690148,675572,1
638781,500200,1
165633,503217,1
212488,176518,1
640422,500699,1
603984,686463,1
583231,129433,1
128142,606617,1
672797,691121,1
63280,605545,1
154276,181556,1
30484,543039,1
316715,246112,1
155869,600740,1
569816,589756,1
508382,35396,1
108656,687170,1
195373,687247,1
21180,63482,1
163057,181296,1
562936,97369,1
690843,541888,1
685651,53014,1
51140,20373,1
602824,515788,2
511146,30537,1
636133,143035,1
582717,531085,1
601840,112030,2
676740,209292,1
521235,179535,1
676452,28671,1
563736,606287,2
585715,679721,1
44600,608411,1
687840,547417,3
571073,689861,1
9514,223407,1
683006,179108,3
583233,248535,1
678541,46793,1
105611,561688,1
687969,235455,2
686372,38394,2
583231,688926,1
505942,688619,1
676476,573380,1
36135,512614,1
108019,634887,1
119075,38394,1
667337,653969,1
589777,65505,1
